"","Date","Treatment","Tank","Fragment","Picture","value.Fo","value.Fm","value.YII"
"82","2017-09-27","28",4,"209",20,"0.1515","0.3515","0.569"
"83","2017-09-27","28",4,"210",20,"0.1324","0.3054","0.567"
"84","2017-09-27","28",4,"296",20,"0.1412","0.3324","0.575"
"85","2017-09-27","29",3,"4",21,"0.1387","0.326","0.574"
"86","2017-09-27","29",3,"5",21,"0.1505","0.3446","0.563"
"87","2017-09-27","29",3,"6",21,"0.1721","0.3848","0.553"
"88","2017-09-27","29",3,"22",21,"0.1863","0.3799","0.51"
"89","2017-09-27","29",3,"32",22,"0.1784","0.3912","0.544"
"90","2017-09-27","29",3,"33",22,"0.1789","0.4064","0.56"
"91","2017-09-27","29",3,"39",22,"0.1505","0.348","0.568"
"92","2017-09-27","29",3,"48",22,"0.177","0.3868","0.542"
"93","2017-09-27","29",3,"52",23,"0.1397","0.3407","0.59"
"94","2017-09-27","29",3,"53",23,"0.1804","0.402","0.551"
"95","2017-09-27","29",3,"54",23,"0.1564","0.3951","0.604"
"96","2017-09-27","29",3,"70",23,"0.1603","0.3941","0.593"
"97","2017-09-27","29",3,"75",24,"0.1348","0.3093","0.564"
"98","2017-09-27","29",3,"80",24,"0.1446","0.3387","0.573"
"99","2017-09-27","29",3,"81",24,"0.1833","0.3877","0.527"
"100","2017-09-27","29",3,"89",25,"0.1873","0.3784","0.505"
"101","2017-09-27","29",3,"93",25,"0.1593","0.352","0.547"
"102","2017-09-27","29",3,"95",25,"0.1613","0.3598","0.552"
"103","2017-09-27","29",3,"212",25,"0.1652","0.3475","0.525"
"104","2017-09-27","29",3,"213",25,"0.149","0.3539","0.579"
"105","2017-09-27","29",3,"295",25,"0.1975","0.4059","0.513"
