Treatment,Tank,Fragment,Picture,Time ,date,F0,Fm,YII
26,4,42,,6,2017-05-31,0.1706,0.2176,0.216
26,4,44,,6,2017-05-31,0.1926,0.2392,0.195
26,4,77,,6,2017-05-31,0.1794,0.226,0.206
26,4,56,,6,2017-05-31,0.1961,0.2235,0.123
26,4,13,,6,2017-05-31,0.1461,0.1819,0.197
28,1,125,,6,2017-05-31,0.1858,0.3471,0.465
28,1,20,,6,2017-05-31,0.1701,0.323,0.473
28,1,109,,6,2017-05-31,0.1897,0.3358,0.435
28,1,132,,6,2017-05-31,0.174,0.3485,0.501
28,1,112,,6,2017-05-31,0.1333,0.2515,0.47
28,1,71,,6,2017-05-31,0.1539,0.3103,0.504
28,1,137,,6,2017-05-31,0.1539,0.3088,0.502
28,1,85,,6,2017-05-31,0.1564,0.2985,0.476
28,1,34,,6,2017-05-31,0.1922,0.3559,0.46
28,1,49,,6,2017-05-31,0.1529,0.327,0.532
28,1,18,,6,2017-05-31,0.1525,0.2985,0.489
28,1,135,,6,2017-05-31,0.1706,0.3397,0.498
28,1,133,,6,2017-05-31,0.1505,0.3015,0.501
28,1,130,,6,2017-05-31,0.149,0.2284,0.348
28,1,8,,6,2017-05-31,0.1426,0.3137,0.545
28,1,126,,6,2017-05-31,0.1613,0.2779,0.42
28,1,15,,6,2017-05-31,0.1431,0.2794,0.488
28,1,134,,6,2017-05-31,0.148,0.2466,0.4
28,1,111,,6,2017-05-31,0.1804,0.3471,0.48
28,1,43,,6,2017-05-31,0.1946,0.3348,0.419
28,1,37,,6,2017-05-31,0.1946,0.3495,0.443
28,1,114,,6,2017-05-31,0.1431,0.2858,0.499
28,1,124,,6,2017-05-31,0.173,0.3324,0.479
28,1,27,,6,2017-05-31,0.1691,0.3343,0.494
28,1,91,,6,2017-05-31,0.1495,0.3005,0.502
28,1,46,,6,2017-05-31,0.1951,0.3436,0.432
28,1,19,,6,2017-05-31,0.1794,0.3211,0.441
28,1,129,,6,2017-05-31,0.1466,0.2632,0.443
28,1,68,,6,2017-05-31,0.1627,0.2564,0.365
28,1,187,,6,2017-05-31,0.1892,0.3294,0.426
28,1,196,,6,2017-05-31,0.1824,0.3745,0.513
29,2,87,,6,2017-05-31,0.1549,0.2578,0.399
29,2,54,,6,2017-05-31,0.1657,0.3299,0.498
29,2,23,,6,2017-05-31,0.1936,0.3735,0.482
29,2,38,,6,2017-05-31,0.1873,0.3422,0.453
29,2,53,,6,2017-05-31,0.1544,0.3387,0.544
29,2,10,,6,2017-05-31,0.152,0.3113,0.512
29,2,33,,6,2017-05-31,0.1946,0.3995,0.513
29,2,39,,6,2017-05-31,0.1657,0.3152,0.474
29,2,14,,6,2017-05-31,0.1417,0.2819,0.497
29,2,4,,6,2017-05-31,0.151,0.2863,0.473
29,2,48,,6,2017-05-31,0.1848,0.3422,0.46
29,2,52,,6,2017-05-31,0.1824,0.3853,0.527
29,2,70,,6,2017-05-31,0.1623,0.3348,0.515
29,2,6,,6,2017-05-31,0.1569,0.3123,0.498
29,2,45,,6,2017-05-31,0.1956,0.3858,0.493
29,2,95,,6,2017-05-31,0.148,0.302,0.51
29,2,75,,6,2017-05-31,0.1544,0.3108,0.503
29,2,81,,6,2017-05-31,0.201,0.4255,0.528
29,2,69,,6,2017-05-31,0.1642,0.3863,0.575
29,2,80,,6,2017-05-31,0.1794,0.4034,0.555
29,2,66,,6,2017-05-31,0.148,0.3471,0.573
29,2,89,,6,2017-05-31,0.1843,0.3637,0.493
29,2,25,,6,2017-05-31,0.1681,0.3333,0.496
29,2,22,,6,2017-05-31,0.1578,0.3127,0.495
29,2,32,,6,2017-05-31,0.1902,0.3922,0.515
29,2,2,,6,2017-05-31,0.1328,0.2853,0.534
29,2,5,,6,2017-05-31,0.1485,0.3289,0.548
29,2,93,,6,2017-05-31,0.1676,0.3632,0.538
29,2,24,,6,2017-05-31,0.1946,0.3956,0.508
29,2,41,,6,2017-05-31,0.1735,0.3025,0.426
27,3,88,,7,2017-06-07,0.1505,0.2662,0.435
27,3,12,,7,2017-06-07,0.1804,0.3598,0.499
27,3,59,,7,2017-06-07,0.1647,0.3078,0.465
27,3,92,,7,2017-06-07,0.1784,0.3701,0.518
27,3,78,,7,2017-06-07,0.1578,0.2951,0.465
27,3,11,,7,2017-06-07,0.1402,0.3358,0.582
27,3,40,,7,2017-06-07,0.1525,0.3353,0.545
27,3,57,,7,2017-06-07,0.2005,0.375,0.465
27,3,96,,7,2017-06-07,0.1583,0.3093,0.488
27,3,60,,7,2017-06-07,0.149,0.2873,0.481
27,3,63,,7,2017-06-07,0.1672,0.3064,0.454
27,3,79,,7,2017-06-07,0.1877,0.3515,0.466
27,3,83,,7,2017-06-07,0.1632,0.3578,0.544
27,3,82,,7,2017-06-07,0.1676,0.3931,0.574
27,3,28,,7,2017-06-07,0.1794,0.3583,0.499
27,3,29,,7,2017-06-07,0.1882,0.3775,0.501
27,3,73,,7,2017-06-07,0.1642,0.2975,0.448
27,3,90,,7,2017-06-07,0.2176,0.3858,0.436
27,3,84,,7,2017-06-07,0.1686,0.3392,0.503
27,3,35,,7,2017-06-07,0.1789,0.3603,0.503
27,3,65,,7,2017-06-07,0.1343,0.3387,0.603
27,3,58,,7,2017-06-07,0.1603,0.3667,0.563
27,3,62,,7,2017-06-07,0.1456,0.3358,0.566
27,3,31,,7,2017-06-07,0.1887,0.3711,0.491
27,3,30,,7,2017-06-07,0.1824,0.3647,0.5
26,4,94,,7,2017-06-07,0.1672,0.2221,0.247
26,4,1,,7,2017-06-07,0.1858,0.2755,0.326
26,4,16,,7,2017-06-07,0.1868,0.276,0.323
26,4,9,,7,2017-06-07,0.152,0.2289,0.336
26,4,72,,7,2017-06-07,0.1843,0.2245,0.179
26,4,36,,7,2017-06-07,0.202,0.3127,0.354
26,4,51,,7,2017-06-07,0.1725,0.2662,0.352
26,4,67,,7,2017-06-07,0.1946,0.2554,0.238
26,4,17,,7,2017-06-07,0.1534,0.2225,0.311
26,4,50,,7,2017-06-07,0.1569,0.2333,0.328
26,4,61,,7,2017-06-07,0.1799,0.2647,0.32
26,4,76,,7,2017-06-07,0.1667,0.226,0.262
26,4,64,,7,2017-06-07,0.1701,0.2353,0.277
26,4,55,,7,2017-06-07,0.1706,0.2613,0.347
26,4,42,,7,2017-06-07,0.1613,0.2245,0.282
26,4,44,,7,2017-06-07,0.151,0.2735,0.448
26,4,77,,7,2017-06-07,0.1912,0.276,0.307
26,4,56,,7,2017-06-07,0.1961,0.2387,0.179
26,4,13,,7,2017-06-07,0.1681,0.226,0.256
28,1,125,,7,2017-06-07,0.1397,0.3034,0.54
28,1,20,,7,2017-06-07,0.1676,0.3456,0.515
28,1,109,,7,2017-06-07,0.1819,0.3627,0.499
28,1,132,,7,2017-06-07,0.1642,0.3461,0.525
