Treatment,Tank,Fragment,Picture_0,Date_0,F0_0,Fm_0,YII_0,Date_1,F0_1,Fm_1,YII_1,Date_2,F0_2,Fm_2,YII_2,Date_3,F0_3,Fm_3,YII_3,Date_4,F0_4,Fm_4,YII_4,Date_5,F0_5,Fm_5,YII_5,Date_6,F0_6,Fm_6,YII_6,Date_7,F0_7,Fm_7,YII_7,Date_8,F0_8,Fm_8,YII_8,Date_9,F0_9,Fm_9,YII_9,Date_10,F0_10,Fm_10,YII_10,Date_11,F0_11,Fm_11,YII_11,Date_12,F0_12,Fm_12,YII_12,Date_13,F0_13,Fm_13,YII_13,Date_14,F0_14,Fm_14,YII_14,Date_15,Tank_15,F0_15,Fm_15,YII_15,Date_16,Tank_16,F0_16,Fm_16,YII_16,Date_17,Tank_17,F0_17,Fm_17,YII_17,Date_18,Tank_18,F0_18,Fm_18,YII_17,Date_19,Tank_19,Fo_19,Fm_19,YII_19
26,4,56,11,12.04.17,0.1775,0.3265,0.456,19.04.17,0.1407,0.2627,0.465,26.04.17,0.1765,0.325,0.457,2017-05-10,0.1863,0.2436,0.235,2017-05-17,0.1897,0.2328,0.185,2017-05-24,0.1946,0.2525,0.229,2017-05-31,0.1961,0.2235,0.123,2017-06-07,0.1961,0.2387,0.179,2017-06-14,0.1912,0.2387,0.199,2017-06-21,0.1809,0.2618,0.309,2017-06-28,0.1833,0.3147,0.417,2017-07-05,0.1863,0.2922,0.362,2017-07-12,0.1912,0.3029,0.369,2017-07-19,0.1966,0.3059,0.357,2017-07-26,0.1745,0.2995,0.417,2017-08-09,1,0.202,0.4039,0.5,2017-08-16,2,0.1995,0.423,0.528,2017-08-25,2,0.1907,0.3279,0.419,2017-09-20,3,0.1951,0.351,0.444,2017-09-27,1,0.1936,0.3569,0.457
26,4,61,9,12.04.17,0.1642,0.2824,0.418,19.04.17,0.1926,0.324,0.405,26.04.17,0.1784,0.3137,0.431,2017-05-10,0.2,0.2681,0.254,2017-05-17,0.1926,0.2485,0.225,2017-05-24,0.1897,0.2603,0.271,2017-05-31,0.1848,0.227,0.186,2017-06-07,0.1799,0.2647,0.32,2017-06-14,0.1804,0.2833,0.363,2017-06-21,0.1775,0.301,0.41,2017-06-28,0.198,0.3324,0.404,2017-07-05,0.1975,0.3152,0.373,2017-07-12,0.1858,0.2809,0.339,2017-07-19,0.2015,0.3054,0.34,2017-07-26,0.1902,0.3245,0.414,2017-08-09,1,0.15,0.3333,0.55,2017-08-16,2,0.1804,0.3779,0.523,2017-08-25,2,0.1922,0.3431,0.44,2017-09-20,3,0.1779,0.3167,0.438,2017-09-27,1,0.1853,0.3377,0.451
26,4,64,10,12.04.17,0.1417,0.2627,0.461,19.04.17,0.1515,0.2647,0.428,26.04.17,0.1711,0.3123,0.452,2017-05-10,0.1956,0.273,0.284,2017-05-17,0.1892,0.2559,0.261,2017-05-24,0.1691,0.2338,0.277,2017-05-31,0.176,0.2162,0.186,2017-06-07,0.1701,0.2353,0.277,2017-06-14,0.2005,0.2868,0.301,2017-06-21,0.1765,0.2779,0.365,2017-06-28,0.1667,0.2912,0.428,2017-07-05,0.2074,0.3441,0.397,2017-07-12,0.1529,0.277,0.448,2017-07-19,0.1745,0.302,0.422,2017-07-26,0.177,0.3377,0.476,2017-08-09,1,0.1833,0.399,0.541,2017-08-16,2,0.1755,0.398,0.559,2017-08-25,2,0.1848,0.3426,0.461,2017-09-20,3,0.1868,0.375,0.502,2017-09-27,1,0.1632,0.3397,0.519
26,4,67,8,12.04.17,0.1681,0.2892,0.419,19.04.17,0.1833,0.277,0.338,26.04.17,0.1745,0.3265,0.465,2017-05-10,0.1838,0.2201,0.165,2017-05-17,0.1676,0.1985,0.156,2017-05-24,0.1608,0.2118,0.241,2017-05-31,0.1672,0.1941,0.139,2017-06-07,0.1946,0.2554,0.238,2017-06-14,0.1696,0.2368,0.284,2017-06-21,0.1407,0.2118,0.336,2017-06-28,0.1554,0.2422,0.358,2017-07-05,0.1745,0.2559,0.318,2017-07-12,0.1544,0.2392,0.355,2017-07-19,0.1824,0.2789,0.346,2017-07-26,0.1382,0.25,0.447,2017-08-09,1,0.1902,0.3858,0.507,2017-08-16,2,0.1549,0.3436,0.549,2017-08-25,2,0.1672,0.3059,0.454,2017-09-20,3,0.1613,0.3338,0.517,2017-09-27,1,0.1417,0.3132,0.548
26,4,76,9,12.04.17,0.1549,0.275,0.437,19.04.17,0.1809,0.2961,0.389,26.04.17,0.198,0.3794,0.478,2017-05-10,0.1809,0.2255,0.198,2017-05-17,0.1926,0.2324,0.171,2017-05-24,0.1475,0.1931,0.236,2017-05-31,0.1647,0.1863,0.116,2017-06-07,0.1667,0.226,0.262,2017-06-14,0.1588,0.2338,0.321,2017-06-21,0.1593,0.2475,0.356,2017-06-28,0.1593,0.2588,0.384,2017-07-05,0.1799,0.2794,0.356,2017-07-12,0.1534,0.2309,0.335,2017-07-19,0.1681,0.249,0.325,2017-07-26,0.1466,0.2554,0.426,2017-08-09,1,0.1431,0.3074,0.534,2017-08-16,2,0.1912,0.4,0.522,2017-08-25,2,0.1657,0.3044,0.456,2017-09-20,3,0.1603,0.3255,0.508,2017-09-27,1,0.149,0.3118,0.522
26,4,77,11,12.04.17,0.1569,0.2956,0.469,19.04.17,0.1706,0.2716,0.372,26.04.17,0.1407,0.2529,0.444,2017-05-10,0.1642,0.2382,0.311,2017-05-17,0.1819,0.2471,0.264,2017-05-24,0.1696,0.248,0.316,2017-05-31,0.1794,0.226,0.206,2017-06-07,0.1912,0.276,0.307,2017-06-14,0.1799,0.2623,0.314,2017-06-21,0.202,0.3216,0.372,2017-06-28,0.1804,0.3279,0.45,2017-07-05,0.2029,0.3377,0.399,2017-07-12,0.1775,0.324,0.452,2017-07-19,0.1745,0.3225,0.459,2017-07-26,0.2,0.3755,0.467,2017-08-09,1,0.1564,0.3667,0.574,2017-08-16,2,0.175,0.4015,0.564,2017-08-25,2,0.1627,0.3049,0.466,2017-09-20,3,0.1711,0.3608,0.526,2017-09-27,1,0.1765,0.348,0.493
26,4,94,7,12.04.17,0.1407,0.2583,0.455,19.04.17,0.1809,0.3064,0.41,26.04.17,0.175,0.3132,0.441,2017-05-10,0.1495,0.202,0.26,2017-05-17,0.1863,0.2446,0.238,2017-05-24,0.1882,0.2544,0.26,2017-05-31,0.1892,0.2328,0.187,2017-06-07,0.1672,0.2221,0.247,2017-06-14,0.1784,0.2824,0.368,2017-06-21,0.1819,0.3206,0.433,2017-06-28,0.1686,0.3152,0.465,2017-07-05,0.2044,0.3608,0.433,2017-07-12,0.174,0.3059,0.431,2017-07-19,0.1735,0.2863,0.394,2017-07-26,0.1789,0.3132,0.429,2017-08-09,1,0.1333,0.3255,0.59,2017-08-16,2,0.152,0.3456,0.56,2017-08-25,2,0.1505,0.3005,0.499,2017-09-20,3,0.2,0.3882,0.485,2017-09-27,1,0.1897,0.4015,0.527
27,3,127,,12.04.17,NA,NA,NA,19.04.17,NA,NA,NA,26.04.17,NA,NA,NA,2017-05-10,NA,NA,NA,2017-05-17,NA,NA,NA,2017-05-24,NA,NA,NA,2017-05-31,NA,NA,NA,2017-06-07,NA,NA,NA,2017-06-14,0.1618,0.2471,0.345,2017-06-21,0.1578,0.2583,0.389,2017-06-28,0.1525,0.302,0.495,2017-07-05,0.1412,0.2412,0.415,2017-07-12,0.1505,0.2534,0.406,2017-07-19,0.175,0.3147,0.444,2017-07-26,0.2015,0.3912,0.485,2017-08-09,1,0.1505,0.3755,0.599,2017-08-16,2,0.1672,0.399,0.581,2017-08-25,2,0.1559,0.3221,0.516,2017-09-20,3,0.1926,0.4221,0.544,2017-09-27,1,0.1824,0.4549,0.599
27,3,11,2,12.04.17,0.1309,0.3103,0.578,19.04.17,0.1451,0.2946,0.507,26.04.17,0.1387,0.3319,0.582,2017-05-10,0.1446,0.3029,0.523,2017-05-17,0.151,0.2907,0.481,2017-05-24,0.1373,0.2789,0.508,2017-05-31,0.1343,0.2706,0.504,2017-06-07,0.1402,0.3358,0.582,2017-06-14,0.1431,0.3701,0.613,2017-06-21,0.1328,0.3211,0.586,2017-06-28,0.148,0.3907,0.621,2017-07-05,0.1402,0.3544,0.604,2017-07-12,0.1515,0.4074,0.628,2017-07-19,0.1338,0.35,0.618,2017-07-26,0.1667,0.4431,0.624,2017-08-09,2,0.1309,0.3794,0.655,2017-08-16,4,0.1309,0.3657,0.642,2017-08-25,4,0.1618,0.4,0.596,2017-09-20,1,0.1598,0.3603,0.556,2017-09-27,2,0.1461,0.374,0.609
27,3,12,1,12.04.17,0.1299,0.248,0.476,19.04.17,0.1667,0.3181,0.476,26.04.17,0.1784,0.3725,0.521,2017-05-10,0.1819,0.3588,0.493,2017-05-17,0.1721,0.3083,0.442,2017-05-24,0.1853,0.3618,0.488,2017-05-31,0.1853,0.3422,0.458,2017-06-07,0.1804,0.3598,0.499,2017-06-14,0.1784,0.3863,0.538,2017-06-21,0.1755,0.3721,0.528,2017-06-28,0.1897,0.4093,0.537,2017-07-05,0.1936,0.4265,0.546,2017-07-12,0.1828,0.4196,0.564,2017-07-19,0.1716,0.4176,0.589,2017-07-26,0.1706,0.424,0.598,2017-08-09,2,0.1471,0.4069,0.639,2017-08-16,4,0.1461,0.3794,0.615,2017-08-25,4,0.1593,0.3701,0.57,2017-09-20,1,0.1515,0.3549,0.573,2017-09-27,2,0.1534,0.3838,0.6
