"","Core","X.0","Date.0","Colony.0","Temp.0","CO2.0","YII.0","X.1","Date.1","Colony.1","Temp.1","CO2.1","YII.1"
"81","22-13",81,"2017-09-01",22,27,"LCO2",0.476,278,"2017-10-03",22,27,"LCO2",0.425
"82","22-44",82,"2017-09-01",22,27,"LCO2",0.487,279,"2017-10-03",22,27,"LCO2",0.425
"83","22-52",83,"2017-09-01",22,27,"LCO2",0.516,280,"2017-10-03",22,27,"LCO2",0.428
"84","22-61",84,"2017-09-01",22,27,"LCO2",0.488,281,"2017-10-03",22,27,"LCO2",0.415
"85","23-11",85,"2017-09-01",23,27,"LCO2",0.455,282,"2017-10-03",23,27,"LCO2",0.404
"86","23-33",86,"2017-09-01",23,27,"LCO2",0.493,283,"2017-10-03",23,27,"LCO2",0.399
"87","23-41",87,"2017-09-01",23,27,"LCO2",0.458,284,"2017-10-03",23,27,"LCO2",0.392
"88","23-49",88,"2017-09-01",23,27,"LCO2",0.465,285,"2017-10-03",23,27,"LCO2",0.393
"89","23-77",89,"2017-09-01",23,27,"LCO2",0.466,286,"2017-10-03",23,27,"LCO2",0.399
"90","24-13",90,"2017-09-01",24,27,"LCO2",0.502,287,"2017-10-03",24,27,"LCO2",0.451
"91","24-35",91,"2017-09-01",24,27,"LCO2",0.498,288,"2017-10-03",24,27,"LCO2",0.434
"92","24-43",92,"2017-09-01",24,27,"LCO2",0.497,289,"2017-10-03",24,27,"LCO2",0.447
"93","24-51",93,"2017-09-01",24,27,"LCO2",0.486,290,"2017-10-03",24,27,"LCO2",0.447
"94","27-16",94,"2017-09-01",27,27,"LCO2",0.458,291,"2017-10-03",27,27,"LCO2",0.412
"95","27-40",95,"2017-09-01",27,27,"LCO2",0.506,292,"2017-10-03",27,27,"LCO2",0.396
"96","27-88",96,"2017-09-01",27,27,"LCO2",0.466,293,"2017-10-03",27,27,"LCO2",0.411
"97","30-33",97,"2017-09-01",30,27,"LCO2",0.529,294,"2017-10-03",30,27,"LCO2",0.489
"98","30-42",98,"2017-09-01",30,27,"LCO2",0.531,295,"2017-10-03",30,27,"LCO2",0.492
"99","30-52",99,"2017-09-01",30,27,"LCO2",0.527,296,"2017-10-03",30,27,"LCO2",0.472
"100","20-40",100,"2017-09-01",20,28,"HCO2",0.525,297,"2017-10-03",20,28,"HCO2",0.488
"101","20-54",101,"2017-09-01",20,28,"HCO2",0.498,298,"2017-10-03",20,28,"HCO2",0.448
"102","20-63",102,"2017-09-01",20,28,"HCO2",0.456,299,"2017-10-03",20,28,"HCO2",0.465
"103","20-73",103,"2017-09-01",20,28,"HCO2",0.447,300,"2017-10-03",20,28,"HCO2",0.432
"104","20-85",104,"2017-09-01",20,28,"HCO2",0.49,301,"2017-10-03",20,28,"HCO2",0.478
"105","20-93",105,"2017-09-01",20,28,"HCO2",0.443,302,"2017-10-03",20,28,"HCO2",0.421
"106","20-105",106,"2017-09-01",20,28,"HCO2",0.44,303,"2017-10-03",20,28,"HCO2",0.438
"107","22-19",107,"2017-09-01",22,28,"HCO2",0.501,304,"2017-10-03",22,28,"HCO2",0.419
"108","22-49",108,"2017-09-01",22,28,"HCO2",0.49,305,"2017-10-03",22,28,"HCO2",0.44
"109","22-57",109,"2017-09-01",22,28,"HCO2",0.484,306,"2017-10-03",22,28,"HCO2",0.405
"110","23-2",110,"2017-09-01",23,28,"HCO2",0.502,307,"2017-10-03",23,28,"HCO2",0.406
"111","23-17",111,"2017-09-01",23,28,"HCO2",0.488,308,"2017-10-03",23,28,"HCO2",0.427
"112","23-29",112,"2017-09-01",23,28,"HCO2",0.491,309,"2017-10-03",23,28,"HCO2",0.41
"113","23-38",113,"2017-09-01",23,28,"HCO2",0.493,310,"2017-10-03",23,28,"HCO2",0.405
"114","23-46",114,"2017-09-01",23,28,"HCO2",0.49,311,"2017-10-03",23,28,"HCO2",0.408
"115","24-32",115,"2017-09-01",24,28,"HCO2",0.502,312,"2017-10-03",24,28,"HCO2",0.441
"116","24-40",116,"2017-09-01",24,28,"HCO2",0.511,313,"2017-10-03",24,28,"HCO2",0.434
"117","24-48",117,"2017-09-01",24,28,"HCO2",0.494,314,"2017-10-03",24,28,"HCO2",0.425
"118","27-13",118,"2017-09-01",27,28,"HCO2",0.483,315,"2017-10-03",27,28,"HCO2",0.389
"119","27-29",119,"2017-09-01",27,28,"HCO2",0.431,316,"2017-10-03",27,28,"HCO2",0.367
"120","27-71",120,"2017-09-01",27,28,"HCO2",0.486,317,"2017-10-03",27,28,"HCO2",0.397
"121","30-30",121,"2017-09-01",30,28,"HCO2",0.527,318,"2017-10-03",30,28,"HCO2",0.471
"122","30-39",122,"2017-09-01",30,28,"HCO2",0.532,319,"2017-10-03",30,28,"HCO2",0.474
"123","30-47",123,"2017-09-01",30,28,"HCO2",0.532,320,"2017-10-03",30,28,"HCO2",0.48
"124","30-64",124,"2017-09-01",30,28,"HCO2",0.524,321,"2017-10-03",30,28,"HCO2",0.463
"125","20-50",125,"2017-09-01",20,28,"LCO2",0.539,322,"2017-10-03",20,28,"LCO2",0.496
"126","20-59",126,"2017-09-01",20,28,"LCO2",0.532,323,"2017-10-03",20,28,"LCO2",0.505
"127","20-68",127,"2017-09-01",20,28,"LCO2",0.499,324,"2017-10-03",20,28,"LCO2",0.465
"128","20-79",128,"2017-09-01",20,28,"LCO2",0.48,325,"2017-10-03",20,28,"LCO2",0.464
"129","20-89",129,"2017-09-01",20,28,"LCO2",0.489,326,"2017-10-03",20,28,"LCO2",0.479
"130","20-97",130,"2017-09-01",20,28,"LCO2",0.502,327,"2017-10-03",20,28,"LCO2",0.484
"131","22-45",131,"2017-09-01",22,28,"LCO2",0.508,328,"2017-10-03",22,28,"LCO2",0.442
"132","22-53",132,"2017-09-01",22,28,"LCO2",0.515,329,"2017-10-03",22,28,"LCO2",0.413
"133","22-62",133,"2017-09-01",22,28,"LCO2",0.486,330,"2017-10-03",22,28,"LCO2",0.441
"134","23-13",134,"2017-09-01",23,28,"LCO2",0.485,331,"2017-10-03",23,28,"LCO2",0.399
"135","23-22",135,"2017-09-01",23,28,"LCO2",0.481,332,"2017-10-03",23,28,"LCO2",0.409
"136","23-34",136,"2017-09-01",23,28,"LCO2",0.493,333,"2017-10-03",23,28,"LCO2",0.405
"137","23-42",137,"2017-09-01",23,28,"LCO2",0.478,334,"2017-10-03",23,28,"LCO2",0.408
"138","23-52",138,"2017-09-01",23,28,"LCO2",0.484,335,"2017-10-03",23,28,"LCO2",0.406
"139","24-20",139,"2017-09-01",24,28,"LCO2",0.503,336,"2017-10-03",24,28,"LCO2",0.43
"140","24-36",140,"2017-09-01",24,28,"LCO2",0.504,337,"2017-10-03",24,28,"LCO2",0.43
"141","24-44",141,"2017-09-01",24,28,"LCO2",0.486,338,"2017-10-03",24,28,"LCO2",0.429
"142","24-52",142,"2017-09-01",24,28,"LCO2",0.505,339,"2017-10-03",24,28,"LCO2",0.46
"143","27-20",143,"2017-09-01",27,28,"LCO2",0.473,340,"2017-10-03",27,28,"LCO2",0.404
"144","27-56",144,"2017-09-01",27,28,"LCO2",0.479,341,"2017-10-03",27,28,"LCO2",0.423
"145","27-91",145,"2017-09-01",27,28,"LCO2",0.484,342,"2017-10-03",27,28,"LCO2",0.408
"146","30-34",146,"2017-09-01",30,28,"LCO2",0.532,343,"2017-10-03",30,28,"LCO2",0.473
"147","30-43",147,"2017-09-01",30,28,"LCO2",0.517,344,"2017-10-03",30,28,"LCO2",0.461
"148","30-53",148,"2017-09-01",30,28,"LCO2",0.526,345,"2017-10-03",30,28,"LCO2",0.474
"149","20-42",149,"2017-09-01",20,29,"HCO2",0.51,346,"2017-10-03",20,29,"HCO2",0.482
"150","20-56",150,"2017-09-01",20,29,"HCO2",0.48,347,"2017-10-03",20,29,"HCO2",0.457
"151","20-64",151,"2017-09-01",20,29,"HCO2",0.52,348,"2017-10-03",20,29,"HCO2",0.489
"152","20-74",152,"2017-09-01",20,29,"HCO2",0.527,349,"2017-10-03",20,29,"HCO2",0.512
"153","20-86",153,"2017-09-01",20,29,"HCO2",0.52,350,"2017-10-03",20,29,"HCO2",0.492
"154","20-94",154,"2017-09-01",20,29,"HCO2",0.486,351,"2017-10-03",20,29,"HCO2",0.502
"155","20-106",155,"2017-09-01",20,29,"HCO2",0.492,352,"2017-10-03",20,29,"HCO2",0.499
"156","22-37",156,"2017-09-01",22,29,"HCO2",0.5,353,"2017-10-03",22,29,"HCO2",0.43
"157","22-50",157,"2017-09-01",22,29,"HCO2",0.49,354,"2017-10-03",22,29,"HCO2",0.431
"158","22-58",158,"2017-09-01",22,29,"HCO2",0.514,355,"2017-10-03",22,29,"HCO2",0.445
"159","23-6",159,"2017-09-01",23,29,"HCO2",0.477,356,"2017-10-03",23,29,"HCO2",0.404
"160","23-18",160,"2017-09-01",23,29,"HCO2",0.457,357,"2017-10-03",23,29,"HCO2",0.398
"161","23-31",161,"2017-09-01",23,29,"HCO2",0.484,358,"2017-10-03",23,29,"HCO2",0.4
"162","23-39",162,"2017-09-01",23,29,"HCO2",0.483,359,"2017-10-03",23,29,"HCO2",0.4
"163","23-47",163,"2017-09-01",23,29,"HCO2",0.483,360,"2017-10-03",23,29,"HCO2",0.414
"164","24-1",164,"2017-09-01",24,29,"HCO2",0.516,361,"2017-10-03",24,29,"HCO2",0.442
"165","24-33",165,"2017-09-01",24,29,"HCO2",0.51,362,"2017-10-03",24,29,"HCO2",0.436
"166","24-41",166,"2017-09-01",24,29,"HCO2",0.511,363,"2017-10-03",24,29,"HCO2",0.427
"167","24-49",167,"2017-09-01",24,29,"HCO2",0.501,364,"2017-10-03",24,29,"HCO2",0.446
"168","27-14",168,"2017-09-01",27,29,"HCO2",0.45,365,"2017-10-03",27,29,"HCO2",0.381
"169","27-36",169,"2017-09-01",27,29,"HCO2",0.474,366,"2017-10-03",27,29,"HCO2",0.429
"170","27-81",170,"2017-09-01",27,29,"HCO2",0.447,367,"2017-10-03",27,29,"HCO2",0.411
"171","30-31",171,"2017-09-01",30,29,"HCO2",0.534,368,"2017-10-03",30,29,"HCO2",0.491
"172","30-40",172,"2017-09-01",30,29,"HCO2",0.524,369,"2017-10-03",30,29,"HCO2",0.486
"173","30-49",173,"2017-09-01",30,29,"HCO2",0.53,370,"2017-10-03",30,29,"HCO2",0.481
"174","20-51",174,"2017-09-01",20,29,"LCO2",0.532,371,"2017-10-03",20,29,"LCO2",0.494
"175","20-60",175,"2017-09-01",20,29,"LCO2",0.504,372,"2017-10-03",20,29,"LCO2",0.488
"176","20-69",176,"2017-09-01",20,29,"LCO2",0.522,373,"2017-10-03",20,29,"LCO2",0.5
"177","20-80",177,"2017-09-01",20,29,"LCO2",0.445,374,"2017-10-03",20,29,"LCO2",0.455
"178","20-90",178,"2017-09-01",20,29,"LCO2",0.51,375,"2017-10-03",20,29,"LCO2",0.505
"179","20-99",179,"2017-09-01",20,29,"LCO2",0.461,376,"2017-10-03",20,29,"LCO2",0.478
"180","22-46",180,"2017-09-01",22,29,"LCO2",0.512,377,"2017-10-03",22,29,"LCO2",0.463
"181","22-54",181,"2017-09-01",22,29,"LCO2",0.498,378,"2017-10-03",22,29,"LCO2",0.446
"182","22-64",182,"2017-09-01",22,29,"LCO2",0.498,379,"2017-10-03",22,29,"LCO2",0.456
"183","23-14",183,"2017-09-01",23,29,"LCO2",0.505,380,"2017-10-03",23,29,"LCO2",0.419
"184","23-23",184,"2017-09-01",23,29,"LCO2",0.461,381,"2017-10-03",23,29,"LCO2",0.392
"185","23-35",185,"2017-09-01",23,29,"LCO2",0.466,382,"2017-10-03",23,29,"LCO2",0.408
"186","23-43",186,"2017-09-01",23,29,"LCO2",0.489,383,"2017-10-03",23,29,"LCO2",0.431
"187","23-53",187,"2017-09-01",23,29,"LCO2",0.468,384,"2017-10-03",23,29,"LCO2",0.419
"188","24-29",188,"2017-09-01",24,29,"LCO2",0.493,385,"2017-10-03",24,29,"LCO2",0.449
"189","24-37",189,"2017-09-01",24,29,"LCO2",0.508,386,"2017-10-03",24,29,"LCO2",0.431
"190","24-45",190,"2017-09-01",24,29,"LCO2",0.511,387,"2017-10-03",24,29,"LCO2",0.46
"191","24-53",191,"2017-09-01",24,29,"LCO2",0.499,388,"2017-10-03",24,29,"LCO2",0.468
"192","27-4",192,"2017-09-01",27,29,"LCO2",0.468,389,"2017-10-03",27,29,"LCO2",0.385
"193","27-64",193,"2017-09-01",27,29,"LCO2",0.493,390,"2017-10-03",27,29,"LCO2",0.434
"194","27-95",194,"2017-09-01",27,29,"LCO2",0.508,391,"2017-10-03",27,29,"LCO2",0.454
"195","30-35",195,"2017-09-01",30,29,"LCO2",0.548,392,"2017-10-03",30,29,"LCO2",0.493
"196","30-44",196,"2017-09-01",30,29,"LCO2",0.516,393,"2017-10-03",30,29,"LCO2",0.488
"197","30-54",197,"2017-09-01",30,29,"LCO2",0.515,394,"2017-10-03",30,29,"LCO2",0.501
